time,linear_accel_x,linear_accel_y,linear_accel_z,angular_vel_x,angular_vel_y,angular_vel_z
0.102038,0,0,0,0,0,0
0.202021,0,0,0,0,0,0
0.302027,0,0,0,0,0,0
0.402043,0,0,0,0,0,0
0.502033,0,0,0,0,0,0
0.602033,0,0,0,0,0,0
0.70204,0,0,0,0,0,0
0.80204,0,0,0,0,0,0
0.902036,0,0,0,0,0,0
1.00205,0,0,0,0,0,0
1.10202,0,0,0,0,0,0
1.20205,0,0,0,0,0,0
1.30203,0,0,0,0,0,0
1.40204,0,0,0,0,0,0
1.50203,0,0,0,0,0,0
1.60204,0,0,0,0,0,0
1.70202,0,0,0,0,0,0
1.80203,0,0,0,0,0,0
1.90205,0,0,0,0,0,0
2.00206,0,0,0,0,0,0
2.10205,0,0,0,0,0,0
2.20203,0,0,0,0,0,0
2.30205,0,0,0,0,0,0
2.40204,0,0,0,0,0,0
2.50208,0,0,0,0,0,0
2.60202,0,0,0,0,0,0
2.70203,0,0,0,0,0,0
2.80206,0,0,0,0,0,0
2.90203,0,0,0,0,0,0
3.00204,0,0,0,0,0,0
3.10203,0,0,0,0,0,0
3.20203,0,0,0,0,0,0
3.30203,0,0,0,0,0,0
3.40207,0,0,0,0,0,0
3.50203,0,0,0,0,0,0
3.60204,0,0,0,0,0,0
3.70204,0,0,0,0,0,0
3.80247,0,0,0,0,0,0
3.90205,0,0,0,0,0,0
4.00229,0,0,0,0,0,0
4.10203,0,0,0,0,0,0
4.20208,0,0,0,0,0,0
4.30204,0,0,0,0,0,0
4.40205,0,0,0,0,0,0
4.50204,0,0,0,0,0,0
4.60203,0,0,0,0,0,0
4.70204,0,0,0,0,0,0
4.80204,0,0,0,0,0,0
4.90203,0,0,0,0,0,0
5.00224,0.1,0,0,0,0,0
5.10205,0.1,0,0,0,0,0
5.20205,0.1,0,0,0,0,0
5.30203,0.1,0,0,0,0,0
5.4025,0.1,0,0,0,0,0
5.50205,0.1,0,0,0,0,0
5.60203,0.1,0,0,0,0,0
5.70204,0.1,0,0,0,0,0
5.80218,0.1,0,0,0,0,0
5.90204,0.1,0,0,0,0,0
6.00233,0.1,0,0,0,0,0
6.10206,0.1,0,0,0,0,0
6.20206,0.1,0,0,0,0,0
6.30208,0.1,0,0,0,0,0
6.40223,0.1,0,0,0,0,0
6.50224,0.1,0,0,0,0,0
6.60204,0.1,0,0,0,0,0
6.70226,0.1,0,0,0,0,0
6.80204,0.1,0,0,0,0,0
6.90205,0.1,0,0,0,0,0
7.00226,0.1,0,0,0,0,0
7.10227,0.1,0,0,0,0,0
7.20207,0.1,0,0,0,0,0
7.30221,0.1,0,0,0,0,0
7.40235,0.1,0,0,0,0,0
7.50203,0.1,0,0,0,0,0
7.60208,0.1,0,0,0,0,0
7.70226,0.1,0,0,0,0,0
7.80233,0.1,0,0,0,0,0
7.90233,0.1,0,0,0,0,0
8.00235,0.1,0,0,0,0,0
8.10221,0.1,0,0,0,0,0
8.20204,0.1,0,0,0,0,0
8.30232,0.1,0,0,0,0,0
8.40232,0.1,0,0,0,0,0
8.50203,0.1,0,0,0,0,0
8.60203,0.1,0,0,0,0,0
8.70205,0.1,0,0,0,0,0
8.80202,0.1,0,0,0,0,0
8.90203,0.1,0,0,0,0,0
9.00204,0,0,0,0,0,0
9.10203,0,0,0,0,0,0
9.20202,0,0,0,0,0,0
9.30203,0,0,0,0,0,0
9.40202,0,0,0,0,0,0
9.50204,0,0,0,0,0,0
9.60203,0,0,0,0,0,0
9.70204,0,0,0,0,0,0
9.80203,0,0,0,0,0,0
9.90204,0,0,0,0,0,0
10.002,0,0,0,0,0,0
10.102,0,0,0,0,0,0
10.202,0,0,0,0,0,0
10.302,0,0,0,0,0,0
10.402,0,0,0,0,0,0
10.502,0,0,0,0,0,0
10.602,0,0,0,0,0,0
10.702,0,0,0,0,0,0
10.802,0,0,0,0,0,0
10.902,0,0,0,0,0,0
11.002,0,0,0,0,0,0
11.102,0,0,0,0,0,0
11.202,0,0,0,0,0,0
11.302,0,0,0,0,0,0
11.402,0,0,0,0,0,0
11.502,0,0,0,0,0,0
11.602,0,0,0,0,0,0
11.702,0,0,0,0,0,0
11.802,0,0,0,0,0,0
11.902,0,0,0,0,0,0
12.0022,0,0,0,0,0,0
12.102,0,0,0,0,0,0
12.202,0,0,0,0,0,0
12.302,0,0,0,0,0,0
12.402,0,0,0,0,0,0
12.502,0,0,0,0,0,0
12.602,0,0,0,0,0,0
12.702,0,0,0,0,0,0
12.802,0,0,0,0,0,0
12.902,0,0,0,0,0,0
13.002,0,0,0,0,0,0
13.102,0,0,0,0,0,0
13.202,0,0,0,0,0,0
13.302,0,0,0,0,0,0
13.402,0,0,0,0,0,0
13.502,0,0,0,0,0,0
13.602,0,0,0,0,0,0
13.7021,0,0,0,0,0,0
13.802,0,0,0,0,0,0
13.902,0,0,0,0,0,0
14.002,0,0,0,0,0,0
14.102,0,0,0,0,0,0
14.202,0,0,0,0,0,0
14.302,0,0,0,0,0,0
14.402,0,0,0,0,0,0
14.5021,0,0,0,0,0,0
14.602,0,0,0,0,0,0
14.7021,0,0,0,0,0,0
14.802,0,0,0,0,0,0
14.9021,0,0,0,0,0,0
15.0023,-0.1,0,0,0,0,0
15.102,-0.1,0,0,0,0,0
15.2024,-0.1,0,0,0,0,0
15.3023,-0.1,0,0,0,0,0
15.4021,-0.1,0,0,0,0,0
15.5021,-0.1,0,0,0,0,0
15.602,-0.1,0,0,0,0,0
15.7023,-0.1,0,0,0,0,0
15.802,-0.1,0,0,0,0,0
15.902,-0.1,0,0,0,0,0
16.002,-0.1,0,0,0,0,0
16.102,-0.1,0,0,0,0,0
16.202,-0.1,0,0,0,0,0
16.302,-0.1,0,0,0,0,0
16.402,-0.1,0,0,0,0,0
16.502,-0.1,0,0,0,0,0
16.602,-0.1,0,0,0,0,0
16.7025,-0.1,0,0,0,0,0
16.802,-0.1,0,0,0,0,0
16.902,-0.1,0,0,0,0,0
17.0022,-0.1,0,0,0,0,0
17.1023,-0.1,0,0,0,0,0
17.202,-0.1,0,0,0,0,0
17.302,-0.1,0,0,0,0,0
17.402,-0.1,0,0,0,0,0
17.5021,-0.1,0,0,0,0,0
17.602,-0.1,0,0,0,0,0
17.7021,-0.1,0,0,0,0,0
17.8021,-0.1,0,0,0,0,0
17.9024,-0.1,0,0,0,0,0
18.002,-0.1,0,0,0,0,0
18.1021,-0.1,0,0,0,0,0
18.202,-0.1,0,0,0,0,0
18.302,-0.1,0,0,0,0,0
18.402,-0.1,0,0,0,0,0
18.502,-0.1,0,0,0,0,0
18.602,-0.1,0,0,0,0,0
18.7023,-0.1,0,0,0,0,0
18.802,-0.1,0,0,0,0,0
18.9021,-0.1,0,0,0,0,0
19.002,0,0,0,0,0,0
19.102,0,0,0,0,0,0
19.202,0,0,0,0,0,0
19.302,0,0,0,0,0,0
19.402,0,0,0,0,0,0
19.502,0,0,0,0,0,0
19.602,0,0,0,0,0,0
19.7021,0,0,0,0,0,0
19.8025,0,0,0,0,0,0
19.9022,0,0,0,0,0,0
20.002,0,0,0,0,0,0
20.102,0,0,0,0,0,0
20.202,0,0,0,0,0,0
20.302,0,0,0,0,0,0
20.402,0,0,0,0,0,0
20.502,0,0,0,0,0,0
20.602,0,0,0,0,0,0
20.702,0,0,0,0,0,0
20.802,0,0,0,0,0,0
20.902,0,0,0,0,0,0
21.0024,0,0,0,0,0,0
21.1023,0,0,0,0,0,0
21.202,0,0,0,0,0,0
21.3021,0,0,0,0,0,0
21.402,0,0,0,0,0,0
21.502,0,0,0,0,0,0
21.602,0,0,0,0,0,0
21.7021,0,0,0,0,0,0
21.8021,0,0,0,0,0,0
21.902,0,0,0,0,0,0
22.0024,0,0,0,0,0,0
22.102,0,0,0,0,0,0
22.2023,0,0,0,0,0,0
22.302,0,0,0,0,0,0
22.402,0,0,0,0,0,0
22.502,0,0,0,0,0,0
22.602,0,0,0,0,0,0
22.7023,0,0,0,0,0,0
22.8022,0,0,0,0,0,0
22.9021,0,0,0,0,0,0
23.002,0,0,0,0,0,0
23.102,0,0,0,0,0,0
23.202,0,0,0,0,0,0
23.3021,0,0,0,0,0,0
23.4021,0,0,0,0,0,0
23.5021,0,0,0,0,0,0
23.602,0,0,0,0,0,0
23.7022,0,0,0,0,0,0
23.802,0,0,0,0,0,0
23.9021,0,0,0,0,0,0
24.0021,0,0,0,0,0,0
24.102,0,0,0,0,0,0
24.2021,0,0,0,0,0,0
24.302,0,0,0,0,0,0
24.4021,0,0,0,0,0,0
24.502,0,0,0,0,0,0
24.602,0,0,0,0,0,0
24.702,0,0,0,0,0,0
24.802,0,0,0,0,0,0
24.902,0,0,0,0,0,0
25.002,0,0,0,0,0,0
25.102,0,0,0,0,0,0
25.202,0,0,0,0,0,0
25.302,0,0,0,0,0,0
25.402,0,0,0,0,0,0
25.502,0,0,0,0,0,0
25.602,0,0,0,0,0,0
25.702,0,0,0,0,0,0
25.802,0,0,0,0,0,0
25.9021,0,0,0,0,0,0
26.002,0,0,0,0,0,0
26.1021,0,0,0,0,0,0
26.202,0,0,0,0,0,0
26.3021,0,0,0,0,0,0
26.402,0,0,0,0,0,0
26.502,0,0,0,0,0,0
26.602,0,0,0,0,0,0
26.7024,0,0,0,0,0,0
26.8022,0,0,0,0,0,0
26.902,0,0,0,0,0,0
27.002,0,0,0,0,0,0
27.102,0,0,0,0,0,0
27.202,0,0,0,0,0,0
27.302,0,0,0,0,0,0
27.402,0,0,0,0,0,0
27.502,0,0,0,0,0,0
27.602,0,0,0,0,0,0
27.7023,0,0,0,0,0,0
27.802,0,0,0,0,0,0
27.9021,0,0,0,0,0,0
28.0021,0,0,0,0,0,0
28.102,0,0,0,0,0,0
28.202,0,0,0,0,0,0
28.302,0,0,0,0,0,0
28.402,0,0,0,0,0,0
28.502,0,0,0,0,0,0
28.602,0,0,0,0,0,0
28.7021,0,0,0,0,0,0
28.802,0,0,0,0,0,0
28.902,0,0,0,0,0,0
29.002,0,0,0,0,0,0
29.102,0,0,0,0,0,0
29.202,0,0,0,0,0,0
29.302,0,0,0,0,0,0
29.402,0,0,0,0,0,0
29.502,0,0,0,0,0,0
29.602,0,0,0,0,0,0
29.702,0,0,0,0,0,0
29.802,0,0,0,0,0,0
29.902,0,0,0,0,0,0
30.0021,0,0,0,0,0,0
