time,linear_accel_x,linear_accel_y,linear_accel_z,angular_vel_x,angular_vel_y,angular_vel_z
0.10,0,0,0,0,0,0
0.20,0,0,0,0,0,0
0.30,0,0,0,0,0,0
0.40,0,0,0,0,0,0
0.50,0,0,0,0,0,0
0.60,0,0,0,0,0,0
0.70,0,0,0,0,0,0
0.80,0,0,0,0,0,0
0.90,0,0,0,0,0,0
1.00,0,0,0,0,0,0
1.10,0,0,0,0,0,0
1.20,0,0,0,0,0,0
1.30,0,0,0,0,0,0
1.40,0,0,0,0,0,0
1.50,0,0,0,0,0,0
1.60,0,0,0,0,0,0
1.70,0,0,0,0,0,0
1.80,0,0,0,0,0,0
1.90,0,0,0,0,0,0
2.00,0,0,0,0,0,0
2.10,0,0,0,0,0,0
2.20,0,0,0,0,0,0
2.30,0,0,0,0,0,0
2.40,0,0,0,0,0,0
2.50,0,0,0,0,0,0
2.60,0,0,0,0,0,0
2.70,0,0,0,0,0,0
2.80,0,0,0,0,0,0
2.90,0,0,0,0,0,0
3.00,0,0,0,0,0,0
3.10,0,0,0,0,0,0
3.20,0,0,0,0,0,0
3.30,0,0,0,0,0,0
3.40,0,0,0,0,0,0
3.50,0,0,0,0,0,0
3.60,0,0,0,0,0,0
3.70,0,0,0,0,0,0
3.80,0,0,0,0,0,0
3.90,0,0,0,0,0,0
4.00,0,0,0,0,0,0
4.10,0,0,0,0,0,0
4.20,0,0,0,0,0,0
4.30,0,0,0,0,0,0
4.40,0,0,0,0,0,0
4.50,0,0,0,0,0,0
4.60,0,0,0,0,0,0
4.70,0,0,0,0,0,0
4.80,0,0,0,0,0,0
4.90,0,0,0,0,0,0
5.00,0,0,0,0,0,0
5.10,0.01,0,0,0,0,0
5.20,0.01,0,0,0,0,0
5.30,0.02,0,0,0,0,0
5.40,0.02,0,0,0,0,0
5.50,0.03,0,0,0,0,0
5.60,0.03,0,0,0,0,0
5.70,0.04,0,0,0,0,0
5.80,0.04,0,0,0,0,0
5.90,0.05,0,0,0,0,0
6.00,0.05,0,0,0,0,0
6.10,0.06,0,0,0,0,0
6.20,0.06,0,0,0,0,0
6.30,0.07,0,0,0,0,0
6.40,0.07,0,0,0,0,0
6.50,0.08,0,0,0,0,0
6.60,0.08,0,0,0,0,0
6.70,0.09,0,0,0,0,0
6.80,0.09,0,0,0,0,0
6.90,0.10,0,0,0,0,0
7.00,0.10,0,0,0,0,0
7.10,0.09,0,0,0,0,0
7.20,0.09,0,0,0,0,0
7.30,0.08,0,0,0,0,0
7.40,0.08,0,0,0,0,0
7.50,0.07,0,0,0,0,0
7.60,0.07,0,0,0,0,0
7.70,0.06,0,0,0,0,0
7.80,0.06,0,0,0,0,0
7.90,0.05,0,0,0,0,0
8.00,0.05,0,0,0,0,0
8.10,0.04,0,0,0,0,0
8.20,0.04,0,0,0,0,0
8.30,0.03,0,0,0,0,0
8.40,0.03,0,0,0,0,0
8.50,0.02,0,0,0,0,0
8.60,0.02,0,0,0,0,0
8.70,0.01,0,0,0,0,0
8.80,0.01,0,0,0,0,0
8.90,0,0,0,0,0,0
9.00,0,0,0,0,0,0
9.10,0,0,0,0,0,0
9.20,0,0,0,0,0,0
9.30,0,0,0,0,0,0
9.40,0,0,0,0,0,0
9.50,0,0,0,0,0,0
9.60,0,0,0,0,0,0
9.70,0,0,0,0,0,0
9.80,0,0,0,0,0,0
9.90,0,0,0,0,0,0
10.00,0,0,0,0,0,0
10.10,0,0,0,0,0,0
10.20,0,0,0,0,0,0
10.30,0,0,0,0,0,0
10.40,0,0,0,0,0,0
10.50,0,0,0,0,0,0
